STT,Link Tiktok,Link Tiktok,ID Tiktok,Booking Expense,Segment,Category,Type,Cost,"Extra/FOC 
(SHDA + hashtag)","Tổng Cast 
(Đã bao gồm thuế)",Booking Expense,Followers,GMV / Month,Contact,Tình trạng hợp tác,MCN note ,,,   ,Link Tiktok,ID Tiktok,Booking Expense,Segment,Concept,Type,Followers,GMV / Month,Meta Ecom note,Brand Pick,Brand note,Khu vực,Product Focus
1,https://www.tiktok.com/@trankimdung249,,trankimdung249,"23,000,000",Top KOC,Beauty,Video,"12,500,000","8,000,000","22,777,778","37,962,963",1.2M,"1,71 tỉ",,,,,,,,,,,,,,,,,,
2,https://www.tiktok.com/@skincaredungcach.byson,,skincaredungcach.byson,"77,000,000",Top KOC,Beauty,Video,"40,000,000","30,000,000","77,777,778","119,658,120","632,5k","₫1,39tỉ",,,,,,,,,,,,,,,,,,
3,https://www.tiktok.com/@vickiee.bae,,vickiee.bae,"62,000,000",Top KOC,Beauty,Video,"55,000,000",,"61,111,111","94,017,094","836,8k","₫2,66tỉ",,,,,,,,,,,,,,,,,,
4,https://www.tiktok.com/@sophia.beauty99,,sophia.beauty99,"30,000,000",Top KOC,Beauty,Video,"27,000,000",,"30,000,000","50,000,000","1,7M","₫572,20M",,,,,,,,,,,,,,,,,,
5,https://www.tiktok.com/@ngoc.matcha,,ngoc.matcha,"85,000,000",Top KOC,Beauty,Video,"40,000,000","33,000,000","81,111,111","124,786,325","4,3M","₫4,67tỉ",,,,,,,,,,,,,,,,,,
6,https://www.tiktok.com/@skincarecoban,,skincarecoban,"20,000,000",Top KOC,Beauty,Video,"10,000,000",,"11,111,111","18,518,519","340,4k","₫2,51tỉ",,,,,,,,,,,,,,,,,,
7,https://www.tiktok.com/@tranhongphuc107,,tranhongphuc107,"16,500,000",Top KOC,Beauty,Video,"8,500,000",,"9,444,444","15,740,741","425,2k","₫204,09M",,,,,,,,,,,,,,,,,,
8,https://www.tiktok.com/@gemma.328,,gemma.328,"8,000,000",Top KOC,Beauty,Video,"4,000,000","500,000","4,500,000","7,500,000","306,4k","₫72,21M",,,,,,,,,,,,,,,,,,
9,https://www.tiktok.com/@chauthu.20,,chauthu.20,"4,500,000",Top KOC,Beauty,Video,"2,500,000",,"2,500,000","4,166,667","100,2k","272,29 M",,,,,,,,,,,,,,,,,,
10,https://www.tiktok.com/@salina.tran,,salina.tran,"15,000,000",Top KOC,Beauty,Video,"7,000,000","3,000,000","11,111,111","18,518,519",133k,"32,93M",,,,,,,,,,,,,,,,,,
